published_date,title,media,desc,link
2025-09-11 13:06:06.734951,রাকসু নির্বাচনের প্রার্থীদের প্রাথমিক তালিকা প্রকাশ,Jagonews24,"রাকসু নির্বাচনের প্রার্থীদের প্রাথমিক তালিকা প্রকাশ. আরও →. খবর · ভারত-নেপাল সীমান্তে উচ্চ সতর্কতা · রাকসু নির্বাচনের প্রার্থীদের প্রাথমিক তালিকা প্রকাশ · ডাকসু পরাজয়ে রাজাকার ট্যাগ, বুলিং ও গ্রুপিংকে দুষলেন সাবেক ছাত্রদল নেতা...",https://www.jagonews24.com/video/bangladesh/68356&ved=2ahUKEwj3mZXm29yPAxX2rpUCHc8hN0c4RhDF9AF6BAgFEAI&usg=AOvVaw1glR6j1vQs6hJbdX8Qpb5-
2025-09-11 13:06:06.733229,রাকসু নির্বাচনে সাবেক সমন্বয়কদের নেতৃত্বে ‘আধিপত্যবিরোধী ঐক্য’ প্যানেল,Jugantor,রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) নির্বাচনকে সামনে রেখে 'আধিপত্যবিরোধী ঐক্য' নামে প্যানেল ঘোষণা করা হয়েছে।৫ দিন আগে,https://www.jugantor.com/campus/1001454&ved=2ahUKEwj8p7jk29yPAxWhkJUCHWrhBME4PBDF9AF6BAgDEAI&usg=AOvVaw1GxdD5PZmiisDMespU3pkM
2025-09-11 13:06:06.731453,রাকসু নির্বাচন: শিবির সমর্থিত প্যানেলের প্রার্থীসহ ৭ জনের প্রার্থিতা বাতিল,Bangla Tribune,রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) ও সিনেট ছাত্র প্রতিনিধি নির্বাচনের প্রার্থীদের প্রাথমিক তালিকা প্রকাশ করা হয়েছে। মনোনয়নপত্র যাচাই-বাছাই শেষে সাত জনের প্রার্থিতা বাতিল করা হয়েছে।৫ দিন আগে,https://www.banglatribune.com/my-campus/914819/%25E0%25A6%25B0%25E0%25A6%25BE%25E0%25A6%2595%25E0%25A6%25B8%25E0%25A7%2581-%25E0%25A6%25A8%25E0%25A6%25BF%25E0%25A6%25B0%25E0%25A7%258D%25E0%25A6%25AC%25E0%25A6%25BE%25E0%25A6%259A%25E0%25A6%25A8-%25E0%25A6%25B6%25E0%25A6%25BF%25E0%25A6%25AC%25E0%25A6%25BF%25E0%25A6%25B0-%25E0%25A6%25B8%25E0%25A6%25AE%25E0%25A6%25B0%25E0%25A7%258D%25E0%25A6%25A5%25E0%25A6%25BF%25E0%25A6%25A4-%25E0%25A6%25AA%25E0%25A7%258D%25E0%25A6%25AF%25E0%25A6%25BE%25E0%25A6%25A8%25E0%25A7%2587%25E0%25A6%25B2%25E0%25A7%2587%25E0%25A6%25B0-%25E0%25A6%25AA%25E0%25A7%258D%25E0%25A6%25B0%25E0%25A6%25BE%25E0%25A6%25B0%25E0%25A7%258D%25E0%25A6%25A5%25E0%25A7%2580%25E0%25A6%25B8%25E0%25A6%25B9&ved=2ahUKEwj8p7jk29yPAxWhkJUCHWrhBME4PBDF9AF6BAgJEAI&usg=AOvVaw1b9MWtBFdbLeg7LTxdSD8n
2025-09-11 13:06:06.728909,রাকসু নির্বাচনের প্রাথমিক প্রার্থী তালিকা প্রকাশ,bvnews24,রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) নির্বাচনের প্রাথমিক প্রার্থী তালিকা প্রকাশ করেছে নির্বাচন কমিশন। তালিকায় সহ সভাপতিসহ ৭ জনের নাম বাতিল করা হয়েছে। তবে আগামীকাল প্রার্থীতা ফেরতের জন্য আবেদন করা যাবে বলে জানান...,https://www.bvnews24.com/education/news/185632&ved=2ahUKEwj8p7jk29yPAxWhkJUCHWrhBME4PBDF9AF6BAgEEAI&usg=AOvVaw03sPn-6oggnPwxDAv8gQxy
2025-09-11 13:06:06.727168,রাকসুতে সাবেক সমন্বয়কদের নেতৃত্বে প্যানেল ঘোষণা,Rupali Bangladesh,"রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) নির্বাচনে সমন্বয়কদের 'আধিপত্যবিরোধী ঐক্য' নামে ১৮ সদস্যের প্যানেল ঘোষণা করা হয়েছে। এই প্যানেলে সহ-সভাপতি (ভিপি), সাধারণ সম্পাদক (জিএস), এজিএস পদে প্রতিদ্বন্দ্বিতা করবেন...",https://www.rupalibangladesh.com/educational-news/campus/73793&ved=2ahUKEwj8p7jk29yPAxWhkJUCHWrhBME4PBDF9AF6BAgFEAI&usg=AOvVaw2S53rwkufKY2Upr3VYHyCV
2025-09-11 13:06:06.725464,শিবিরের প্যানেলের সুজন চন্দ্রসহ ৭ জনের প্রার্থিতা বাতিল : রাকসু নির্বাচন,Bdtoday,রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) নির্বাচনে ২৩টি পদের বিপরীতে ২৫৫ জনের প্রাথমিক তালিকা প্রকাশ করেছে নির্বাচন কমিশন। মনোনয়নন ফরম জমা দেওয়া ৭ জনের প্রার্থিতা বাতিল করা হয়েছে।৫ দিন আগে,https://bdtoday.net/higher-study/56649&ved=2ahUKEwj8p7jk29yPAxWhkJUCHWrhBME4PBDF9AF6BAgGEAI&usg=AOvVaw0nsNaSI-suINfkdBKgI0Pf
2025-09-11 13:06:06.723785,"ভিপি সজিব জিএস আম্মার, রাকসুতে নতুন প্যানেলের ঘোষণা",দৈনিক ইনকিলাব,৩৫ বছর পর অনুষ্ঠিত হতে যাওয়া রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) নির্বাচনে নতুন একটি প্যানেলের ঘোষণা এসেছে। 'আধিপত্যবিরোধী ঐক্য'...,https://dailyinqilab.com/national/article/806400&ved=2ahUKEwj8p7jk29yPAxWhkJUCHWrhBME4PBDF9AF6BAgCEAI&usg=AOvVaw2dtEmrts6DU-_dsR-Wswlf
2025-09-11 13:06:06.722155,রাকসু নির্বাচন: ‘আধিপত্যবিরোধী ঐক্য’ নামে সাবেক সমন্বয়কদের প্যানেল,Channel 24,রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) নির্বাচনকে সামনে রেখে “আধিপত্যবিরোধী ঐক্য” নামে একটি প্যানেল ঘোষণা করা হয়েছে। প্যানেলে বিশ্ববিদ্যালয়ের সাবেক সমন্বয়কসহ অন্যান্য শিক্ষার্থীদের অন্তর্ভুক্তি করা হয়েছে।৫ দিন আগে,https://www.channel24bd.tv/education/article/287734/!&ved=2ahUKEwj8p7jk29yPAxWhkJUCHWrhBME4PBDF9AF6BAgBEAI&usg=AOvVaw20PvkWdjlTEVGeuy08yxLR
2025-09-11 13:06:06.720507,রাকসু নির্বাচনে আধিপত্যবিরোধী ঐক্য প্যানেল ঘোষণা,bd-pratidin.com,রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) নির্বাচনে বৈষম্যবিরোধী আন্দোলনের নেতারা 'আধিপত্যবিরোধী ঐক্য' প্যানেল ঘোষণা করছেন। গতকাল বিশ্ববিদ্যালয় পরিবহন মার্কেটে এ প্যানেল ঘোষণা করা হয়।৫ দিন আগে,https://www.bd-pratidin.com/city/2025/09/11/1156396&ved=2ahUKEwj8p7jk29yPAxWhkJUCHWrhBME4PBDF9AF6BAgKEAI&usg=AOvVaw2PuAaqi9ruBQKEVrc4wTHJ
2025-09-11 13:06:06.718833,রাকসু নির্বাচনে ‘সর্বজনীন শিক্ষার্থী সংসদ’ প্যানেলের প্রার্থী ঘোষণা,Barta Bazar,রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) নির্বাচনে অংশ নিতে নতুন একটি...,https://bartabazar.com/news/182028/&ved=2ahUKEwj8p7jk29yPAxWhkJUCHWrhBME4PBDF9AF6BAgIEAI&usg=AOvVaw3iPCut3x4FLZRAaNfyoiFL
2025-09-11 13:06:06.717055,রাকসুতে সাবেক দুই সমন্বয়কের নতুন প্যানেল ঘোষণা,Silkcity News,সিল্কসিটিনিউজ ডেস্ক : রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) নির্বাচনে আরও দুই সাবেক সমন্বয়ক 'সর্বজনীন শিক্ষার্থী সংসদ' নামে নতুন একটি প্যানেল ঘোষণা করেছেন। আজ বৃহস্পতিবার দুপুরে সত্যেন্দ্রনাথ বসু একাডেমিক ভবনের...,https://silkcitynews.com/%25E0%25A6%25B0%25E0%25A6%25BE%25E0%25A6%2595%25E0%25A6%25B8%25E0%25A7%2581%25E0%25A6%25A4%25E0%25A7%2587-%25E0%25A6%25B8%25E0%25A6%25BE%25E0%25A6%25AC%25E0%25A7%2587%25E0%25A6%2595-%25E0%25A6%25A6%25E0%25A7%2581%25E0%25A6%2587-%25E0%25A6%25B8%25E0%25A6%25AE%25E0%25A6%25A8%25E0%25A7%258D%25E0%25A6%25AC%25E0%25A6%25AF/&ved=2ahUKEwj8p7jk29yPAxWhkJUCHWrhBME4PBDF9AF6BAgHEAI&usg=AOvVaw1tRciH4cVromvUaBJUjuoX
